Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
1/8/26 4:43:08 PM,Joe,,2 Hybrid,93.57104509663564,-1.42,3.28,5.46,2.18,108.11113509094194,1.1553909115719505,7.389999866485596,4.889999866485596,1599.737548828125,-476.9024658203125,1669.31005859375,Measured,16.600000381469727,3.8399999141693115,102.27471198935521,7.190000057220459,12.795275381960998,153.0511777649193,7.940000057220459,21.150481356723414,,,1.1586727,69.998,98.4,56
1/8/26 4:43:15 PM,Joe,,2 Hybrid,93.996062992126,-3.28,-0.23,3.5,3.73,129.18307086614175,1.3743455497382198,16.270000457763672,2.8499999046325684,5307.08544921875,-1289.80322265625,5461.56982421875,Measured,13.65999984741211,31.299999237060547,189.7309771360062,10.65999984741211,35.09405091052919,195.00218455664233,10.8100004196167,36.55949289717386,,,1.1586727,69.998,98.4,56
1/8/26 4:43:23 PM,Joe,,2 Hybrid,98.20150322118826,0.0,-9.42,5.81,15.23,127.23693868136013,1.2956720061074085,14.630000114440918,3.5899999141693115,5347.48779296875,-826.879150390625,5411.0400390625,Estimated,8.789999961853027,27.899999618530273,182.9505613365407,8.569999694824219,27.263779861303348,192.7384137064349,8.739999771118164,29.286964880408473,,,1.1586727,69.998,98.4,56
1/8/26 4:43:50 PM,Joe,,2 Hybrid,95.49481030780242,-2.87,-0.96,3.22,4.18,119.74319698303704,1.2539236069172377,13.970000267028809,2.5299999713897705,4751.6884765625,-861.8147583007812,4829.2099609375,Measured,10.279999732971191,22.079999923706055,170.9098849292398,7.480000019073486,22.244094655061122,183.61766611601527,7.760000228881836,24.79221355675191,,,1.1586727,69.998,98.4,56
1/8/26 4:44:44 PM,Joe,,2 Hybrid,100.79634931997137,-1.56,-0.27,6.15,6.42,134.5293472388342,1.3346648777107952,16.729999542236328,5.019999980926514,3686.8056640625,-1562.6783447265625,4004.31005859375,Measured,22.969999313354492,31.09000015258789,203.53237162111938,16.549999237060547,57.98337757848171,213.26552330143912,16.989999771118164,62.31408523866615,,,1.1586727,69.998,98.4,56
1/8/26 4:46:49 PM,Joe,,2 Hybrid,95.65139584824624,-1.21,-5.54,9.23,14.77,124.44076831629214,1.3009822513591027,25.469999313354492,6.889999866485596,3700.993408203125,-1225.419677734375,3898.590087890625,Measured,18.31999969482422,41.529998779296875,185.93613765579718,16.81999969482422,53.80577511257596,195.63648227214395,17.09000015258789,57.50218922906243,,,1.1586727,69.998,98.4,56
1/8/26 4:48:41 PM,Joe,,2 Hybrid,116.58911954187545,0.0,0.0,0.0,0.0,121.93539352526217,1.0458556853709364,20.780000686645508,-4.610000133514404,4080.610107421875,96.87750244140625,4081.760009765625,Estimated,-1.3600000143051147,34.04999923706055,183.24584159951198,-5.800000190734863,-18.525809857893282,193.9304481966915,-5.789999961853027,-19.55380485648141,,,1.1586727,69.998,98.4,56
1/8/26 4:49:13 PM,Joe,,Driver,98.17913385826772,1.99,-1.1,1.31,2.41,134.1714377734349,1.3665983035369407,18.059999465942383,0.9399999976158142,3317.482177734375,-1011.0913696289062,3468.139892578125,Measured,16.950000762939453,33.90999984741211,210.7064721882604,8.90999984741211,32.62248460597775,224.63911161648008,9.329999923706055,36.41732200028494,,,1.1586727,69.998,98.4,56
1/8/26 4:50:15 PM,Joe,,Driver,97.79885468861846,-1.89,-1.23,8.27,9.5,121.55511845156562,1.242909427094874,19.229999542236328,6.639999866485596,5738.94091796875,-2227.140380859375,6155.93994140625,Estimated,21.209999084472656,30.850000381469727,167.54155396789392,18.799999237060547,53.99168737082761,175.34995225053655,19.15999984741211,57.556869059618585,,,1.1586727,69.998,98.4,56
1/8/26 4:52:31 PM,Joe,,Driver,96.546170365068,-5.22,2.66,12.09,9.43,128.86990115057168,1.33480075556885,18.530000686645508,10.270000457763672,4836.69091796875,-1429.020751953125,5043.3798828125,Estimated,16.459999084472656,33.650001525878906,187.06255801810784,20.309999465942383,64.93875882339812,192.36657250271693,20.459999084472656,67.24628355037926,,,1.1586727,69.998,98.4,56
1/8/26 4:53:06 PM,Joe,,Driver,102.54115962777381,5.21,-2.24,2.4,4.640000000000001,135.26754031116482,1.3191536042910803,18.65999984741211,1.690000057220459,5169.494140625,-895.7144165039062,5246.52001953125,Estimated,9.829999923706055,39.61000061035156,200.83114543924808,7.610000133514404,26.59667508182876,205.66491421543498,7.699999809265137,27.54811956917937,,,1.1586727,69.998,98.4,56
1/8/26 4:54:02 PM,Joe,,Driver,97.28435934144596,-3.58,-2.84,4.21,7.05,126.36453489277648,1.2989193303855322,21.56999969482422,3.109999895095825,5123.3642578125,-841.7377319335938,5192.0498046875,Measured,9.329999923706055,38.939998626708984,181.4523164577267,8.65999984741211,27.307523308567905,189.84032845351118,8.789999961853027,29.00262517253245,,,1.1586727,69.998,98.4,56
1/8/26 4:54:23 PM,Joe,,Driver,97.55279169649249,-1.36,3.3,1.08,-2.2199999999999998,120.0116354820126,1.2302224610382688,22.489999771118164,1.2999999523162842,4049.737060546875,-394.2259216308594,4068.8798828125,Measured,5.559999942779541,35.529998779296875,179.35258092738408,4.119999885559082,12.893700745683539,189.3919429962612,4.21999979019165,13.943569553805775,,,1.1586727,69.998,98.4,56
1/8/26 4:56:59 PM,Joe,,Driver,0.0,0.0,0.0,0.0,0.0,100.81871800023313,inf,11.479999542236328,-8.229999542236328,4661.13818359375,27.66007423400879,4661.22021484375,Measured,-0.3400000035762787,10.930000305175781,127.46063325870277,-8.680000305175781,-19.236658084632428,143.47113127887823,-8.649999618530273,-21.576989875586534,,,1.1586727,69.998,98.4,56
1/8/26 4:57:08 PM,Joe,,Driver,85.78650680028633,-1.87,-6.15,-0.66,5.49,110.54938745737589,1.288657057860373,17.6200008392334,-1.309999942779541,6953.00732421875,-615.6468505859375,6980.2099609375,Measured,5.059999942779541,25.09000015258789,148.60018031803642,1.1299999952316284,2.919947589997753,155.35870249190043,1.2300000190734863,3.324584385228595,,,1.1586727,69.998,98.4,56
