Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
3/1/26 10:12:56 AM,Joe,,,5 Iron,88.71689334287758,0.46,-4.72,-8.37,-3.6499999999999995,118.08786890552824,1.3310640674616074,16.299999237060547,-7.46999979019165,5376.82373046875,513.94091796875,5401.330078125,Measured,-5.460000038146973,26.020000457763672,166.32764253925046,-10.989999771118164,-31.692912885210333,175.65616263909394,-11.050000190734863,-33.66141807375931,,,,,1.1779208,64.004,98.77,52,,,,,1261.0,168.0,,7.5
3/1/26 10:13:35 AM,Joe,,,5 Iron,88.44846098783107,-0.05,-4.47,6.43,10.899999999999999,104.44255240405553,1.1808295049749364,21.780000686645508,4.730000019073486,7126.94140625,-2073.265625,7422.3798828125,Measured,16.219999313354492,26.350000381469727,134.98468974756756,13.539999961853027,31.616360288070986,140.15748431989215,13.75,33.3223964494253,,,,,1.1779208,64.004,98.77,52,,,,,1394.0,147.0,,9.5
3/1/26 10:14:02 AM,Joe,,,5 Iron,90.93146027201145,1.65,-5.59,-8.77,-3.1799999999999997,115.85093261347384,1.2740467629896026,18.350000381469727,-7.900000095367432,5271.83984375,-88.33879089355469,5272.580078125,Measured,0.9599999785423279,28.049999237060547,167.42125583758818,-8.260000228881836,-24.059492563429572,172.49562087438656,-8.210000038146973,-24.639108362473216,,,,,1.1779208,64.004,98.77,52,,,,,1311.0,166.0,,7.900000095367432
3/1/26 10:15:50 AM,Joe,,,3 Hybrid,85.49570508231925,-0.87,-5.62,4.86,10.48,111.44416538749154,1.3035060098070177,15.65999984741211,3.2899999618530273,4321.9345703125,-2495.269775390625,4990.5400390625,Measured,30.0,18.309999465942383,148.11898779681349,15.90999984741211,40.616797232773884,159.9190679435029,16.829999923706055,46.292652921100924,,,,,1.1779208,64.004,98.77,52,,,,,1225.0,168.0,,7.300000190734863
3/1/26 10:16:14 AM,Joe,,,3 Hybrid,87.3971009305655,-1.92,-4.26,-1.45,2.8099999999999996,122.98675631316287,1.407217802463177,16.459999084472656,-1.7200000286102295,5780.85986328125,-2409.891845703125,6263.06005859375,Measured,22.6299991607666,27.739999771118164,171.19421837941033,10.359999656677246,30.796150314317707,175.85302171014635,10.640000343322754,32.45844302840746,,,,,1.1779208,64.004,98.77,52,,,,,1226.0,151.0,,8.100000381469727
3/1/26 10:16:24 AM,Joe,,,3 Hybrid,93.0341803865426,-0.3,-5.13,-3.35,1.7799999999999998,130.79366772705603,1.4058668242535013,15.130000114440918,-3.4000000953674316,4947.91796875,-648.770263671875,4990.27001953125,Estimated,7.46999979019165,30.670000076293945,190.6277313632915,0.2199999988079071,0.7327209281379052,200.55774211466365,0.4099999964237213,1.4326333582453423,,,,,1.1779208,64.004,98.77,52,,,,,1272.0,137.0,,9.300000190734863
3/1/26 10:16:33 AM,Joe,,,3 Hybrid,95.78561202576951,0.61,-5.86,-3.06,2.8000000000000003,113.88242628716023,1.1889304027886993,14.119999885559082,-3.25,4279.3173828125,-2470.664794921875,4941.330078125,Estimated,30.0,17.34000015258789,151.24672249754792,8.920000076293945,23.447069700412968,163.73578436209877,9.880000114440918,28.10586260163982,,,,,1.1779208,64.004,98.77,52,,,,,1183.0,134.0,,8.800000190734863
3/1/26 10:16:58 AM,Joe,,,3 Hybrid,87.3523622047244,2.09,-5.2,4.67,9.870000000000001,109.92304802623578,1.258386668108795,17.3700008392334,3.190000057220459,5249.5322265625,-1061.3519287109375,5355.75,Measured,11.430000305175781,22.90999984741211,151.43263475579957,8.779999732971191,23.108048076078962,161.18766337450617,9.029999732971191,25.306211056045974,,,,,1.1779208,64.004,98.77,52,,,,,1248.0,153.0,,8.199999809265137
3/1/26 10:17:16 AM,Joe,,,3 Hybrid,93.83947745168219,-0.19,-2.54,-1.41,1.1300000000000001,121.28668848582481,1.2924910898856525,10.979999542236328,-1.4800000190734863,5656.2978515625,-880.6961669921875,5724.4501953125,Measured,8.850000381469727,19.489999771118164,166.3932566671964,2.75,7.994313148271589,177.088793389962,3.0,9.273840269287323,,,,,1.1779208,64.004,98.77,52,,,,,1252.0,163.0,,7.699999809265137
3/1/26 10:17:32 AM,Joe,,,3 Hybrid,97.19488188976379,1.05,-6.99,1.53,8.52,126.70007021664378,1.3035673047099754,12.239999771118164,0.38999998569488525,6649.8046875,-3285.093994140625,7416.990234375,Estimated,26.290000915527344,22.610000610351562,165.47462550152423,14.720000267028809,42.049432155445594,173.37051485049966,15.329999923706055,45.83333316646119,,,,,1.1779208,64.004,98.77,52,,,,,1309.0,146.0,,9.0
